H2,O2,O,OH,H2O,H,HO2,CO,CO2,HCO,Temperature
0.899462,0.0404572,1.10129,2.29178,2.61525,3.88065,0.0364512,1.79648,3.40291,1.40355,1597.6
0.0129894,2.73643,0.000134329,0.000369216,0.00193789,8.54738e-08,0.0171647,0.000587327,0.000240978,2.00785e-11,505.98
0.258262,2.27613,0.0121508,0.0448298,0.5752,0.00666503,3.683,0.40092,0.416629,0.00109014,722.364
1.27095e-40,2.73701,1.44286e-42,1.05311e-64,1.64443e-75,4.39361e-62,6.11346e-59,3.65777e-82,1.0011e-88,6.54709e-144,501.099
6.77839e-68,2.73701,1.29542e-42,5.1673e-92,1.52399e-125,3.7596e-89,2.63383e-86,8.14851e-136,1.25315e-146,1.36722e-224,503.627
1.38006e-14,2.73701,7.11748e-25,5.5518e-25,1.55376e-27,8.19298e-36,1.04073e-29,7.67032e-31,1.32284e-33,2.49554e-66,506.56
7.01121e-11,2.73701,3.38467e-16,3.58501e-16,5.02436e-17,1.01338e-24,7.68547e-18,6.04903e-19,5.66995e-20,2.5245e-43,505.168
0.152069,1.84159,0.271642,0.307382,1.31337,0.0782927,2.24897,0.638693,0.973132,0.0216167,971.082
1.04666,0.185945,1.19593,1.03251,3.00606,2.84415,0.298332,2.44359,1.96425,2.3649,1272.05
0.236297,1.93761,0.150741,0.284111,1.17445,0.102811,3.27802,0.649342,0.749768,0.0274452,898.784
0.275938,2.29052,0.00349377,0.0049412,0.561804,0.000328312,2.73289,0.416212,0.36199,5.70225e-05,695.95
2.58931e-11,2.73701,2.46215e-16,2.6734e-16,5.20221e-17,3.3359e-25,1.20672e-17,8.42911e-19,1.16218e-19,1.13953e-43,503.443
1.97427e-06,2.73701,2.35243e-12,4.87146e-12,1.15793e-12,3.43654e-19,1.60288e-12,3.96875e-14,8.48413e-16,5.57004e-33,503.283
0.116841,1.74384,0.716248,0.726674,1.52382,0.220471,1.76795,0.614146,1.18671,0.0527628,1083.96
3.27067e-40,2.73701,1.15146e-42,4.27119e-64,2.07299e-75,2.14457e-61,2.0859e-58,2.38019e-82,2.23967e-89,2.08004e-143,504.857
0.512356,0.670073,2.28455,1.73411,2.68766,1.6802,0.81405,1.65165,1.98236,0.968885,1278.69
1.65297e-18,2.73701,8.77077e-30,6.64523e-30,1.53771e-32,6.11759e-40,3.99154e-34,7.91488e-36,1.75717e-38,1.93608e-75,501.19
0.0496586,2.72879,0.000766077,0.00197139,0.0160916,7.48131e-06,0.19129,0.00881031,0.00428029,2.63144e-08,511.575
0.278153,0.452176,4.65016,4.22543,2.52263,2.66962,0.300584,1.13912,3.22228,0.608027,1577.08
0.0943098,1.11502,3.20557,2.03156,2.20695,0.926487,0.803254,0.863186,2.12291,0.247296,1338.4
3.95632,0.140705,0.0247999,0.0478279,1.18121,0.463929,0.587599,3.50136,0.909541,3.38654,898.256
3.07157e-69,2.73701,7.243e-43,1.79563e-88,3.0457e-117,2.53301e-87,1.45143e-83,1.5965e-125,6.6769e-134,2.01495e-212,500.911
4.23857,0.0277061,0.0507648,0.0302716,1.08169,1.21606,0.116564,3.60104,1.06048,4.90977,881.95
0.528708,1.58373,0.335642,0.358623,1.46716,0.14579,2.46428,1.04276,0.963691,0.0760473,979.496
0.219114,2.41104,0.00539403,0.00989922,0.422744,0.000425093,2.50911,0.300952,0.266296,5.16823e-05,650.008
2.03135e-07,2.73701,4.72223e-11,5.55672e-11,2.44324e-11,3.57712e-16,9.08957e-12,6.94222e-13,1.73929e-13,9.89767e-29,506.007
1.11354,1.032,0.506689,0.567981,1.80516,0.531754,1.95785,1.71152,1.2474,0.533197,1050.74
9.97824e-51,2.73701,4.53836e-43,1.07204e-65,2.68093e-85,1.25084e-64,9.37735e-61,1.12992e-91,6.17661e-98,5.36681e-156,501.174
4.88997e-13,2.73701,1.30456e-24,2.05712e-24,1.58711e-27,2.33821e-34,2.63239e-28,6.27807e-31,4.55039e-34,5.74709e-65,506.564
5.00347,0.0949408,0.0377059,0.0453085,0.721269,0.413686,0.584695,3.77347,0.71575,4.3844,759.9
8.57156e-11,2.73701,2.41964e-16,2.52612e-16,2.96321e-17,6.00038e-26,3.87359e-18,3.13222e-19,2.53844e-20,7.83515e-45,498.611
0.304211,1.17209,1.62773,1.38162,2.15492,0.871609,1.40958,1.1762,1.58842,0.39576,1183.48
0,2.73701,8.78891e-44,1.56248e-318,0,5.01197e-314,5.97293e-313,0,0,0,502.907
5.38724e-222,2.73701,2.50843e-43,5.62456e-200,3.05958e-306,3.41183e-196,1.91264e-194,5.82609e-318,0,0,501.966
1.25416e-84,2.73701,4.40011e-43,9.41159e-93,1.88355e-138,5.00542e-90,2.61636e-87,1.29779e-147,4.58361e-157,2.54744e-237,501.992
1.88644e-78,2.73701,4.4195e-43,5.08474e-88,4.12931e-128,1.92707e-85,1.33372e-82,1.40343e-136,3.34046e-145,1.08763e-221,504.02
1.02852,0.0257124,0.806191,2.04274,2.5858,3.79667,0.0231063,1.86101,3.37027,1.43538,1609.77
8.90297e-48,2.73701,1.44614e-42,8.50105e-72,3.1669e-90,3.72605e-69,4.63453e-66,3.13021e-98,1.97406e-106,4.77337e-167,500.799
1.72058e-30,2.73701,2.20569e-42,3.78112e-54,1.14699e-61,5.86911e-52,1.76745e-48,2.61772e-68,4.34945e-75,6.13245e-120,503.195
