sfr_eff,uox_eff,bias,lwr_fr,fr_fr,fr_start,excess,max_excess,waste_U,waste_Np,waste_Pu,waste_Am,waste_Cm
0.99,0.99,0.0920449338232319,4,11,36,672792.6746021758,12700.672970693966,2268703480.3849263,196826.24940074395,64400.07050704051,108659.82212358355,38368.00203318916
0.999,0.999,0.045607298654971845,4,14,28,-94240.65873115795,1027.555339751074,2164951089.5720468,188907.63524415926,6134.093826874336,103853.65016959106,36824.39997307315
0.9,0.99,0.0186833644244552,3,11,21,-547940.6587311581,1000.0,2034046516.2560968,178031.02368061288,352826.28977523395,105749.55307968994,34704.18554102987
0.9,0.99,0.0944231399039003,4,12,31,708809.3412688422,13000.672970693966,2280721494.030537,197359.05638588715,298189.397308564,108848.01796182363,38471.86388876719
0.9,0.999,-0.06747266208574139,3,10,25,-2000757.3253978244,0.0,1862598977.120296,162873.58358756822,295371.44959772995,96855.66542339021,31749.494822294266
0.9,0.9,0.029657646810078042,2,10,24,-386807.3253978245,1000.0,1961074564.1637697,169359.13067422298,791841.0861284541,114927.68095982051,33013.74430408248
0.999,0.9,-0.07161656419029805,2,13,34,-2078307.3253978242,0.0,1755129573.6274025,153705.6289023167,303912.11526068917,102941.45630159242,29962.354615768123
0.999,0.9,0.05050935153759911,2,12,29,-44490.658731157986,1266.9309636140315,2000902688.5911686,173180.64284392944,342502.44532572554,116701.96292244617,33758.6845096878
0.9,0.999,0.09566917742731951,1,13,21,663642.6746021754,13044.240784008754,1743304569.798004,154550.7710248525,832560.5703766834,141713.2904947288,30127.101008967482
0.9,0.9,0.042219345432047584,2,13,26,-178373.9920644913,1000.0,1994903152.1771562,172078.28356420767,794224.8412230811,115835.95453338703,33543.79791191742
0.99,0.999,-0.0844805029134585,4,13,29,-2280423.992064491,0.0,1888537405.0734086,165317.14665771154,24759.25996572724,90970.26343304098,32225.826780704338
0.99,0.999,0.05718755671000561,1,13,33,42609.34126884218,3138.348111682746,1687612269.5451782,149479.9183382141,82329.03755930702,136386.2894107978,29138.62265923871
